"country","year","democ","autoc","polity","polity2","durable","exrec","exconst","polcomp","countrycode","rgdpe","rgdpna","pop","cpt.succ.n","cpt.fail.n","scoup1","atcoup2","pcoup3","apcoup4","agcoup","foroutex","reboutex","assassex","resignex","gdppc","trade","fcf","govfce","inflation","population","sec.enrr","oda","energy.gni","inttot","civtot","uds.mean"
"Afghanistan",1950,0,10,-10,-10,NA,1,1,1,"AFG",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.46059031609156
"Afghanistan",1951,0,10,-10,-10,NA,1,1,1,"AFG",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.56863702066483
"Afghanistan",1952,0,10,-10,-10,NA,1,1,1,"AFG",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.57369399687977
"Afghanistan",1953,0,10,-10,-10,NA,2,1,1,"AFG",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.56640725088441
"Afghanistan",1954,0,10,-10,-10,NA,2,1,1,"AFG",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.57336054444338
"Afghanistan",1955,0,10,-10,-10,NA,2,1,1,"AFG",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.46465492041114
"Afghanistan",1956,0,10,-10,-10,NA,2,1,1,"AFG",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.56145563785985
"Afghanistan",1957,0,10,-10,-10,NA,2,1,1,"AFG",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.56729113648063
"Afghanistan",1958,0,10,-10,-10,NA,2,1,1,"AFG",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.570044637857
"Afghanistan",1959,0,10,-10,-10,NA,2,1,1,"AFG",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-1.56697976285677
